as_of_date,ticker,net_flow_usd,aum_usd,source
2025-11-05,US_BTC_SPOT,-136996456.5,139146463200.63312,SOSOVALUE
2025-11-04,US_BTC_SPOT,-577736015.8949997,134529401206.03912,SOSOVALUE
2025-11-03,US_BTC_SPOT,-186512480.0,143509332664.4837,SOSOVALUE
2025-10-31,US_BTC_SPOT,-191596715.995,147731750197.20828,SOSOVALUE
2025-10-30,US_BTC_SPOT,-488426030.4500005,143944369912.3431,SOSOVALUE
2025-10-29,US_BTC_SPOT,-470706614.055,149975436821.0931,SOSOVALUE
2025-10-28,US_BTC_SPOT,202483340.475,154811246977.18335,SOSOVALUE
2025-10-27,US_BTC_SPOT,149297173.0,155887840251.40894,SOSOVALUE
2025-10-24,US_BTC_SPOT,90604970.8,149961508014.63965,SOSOVALUE
2025-10-23,US_BTC_SPOT,20325414.98,149430555572.40915,SOSOVALUE
2025-10-22,US_BTC_SPOT,-101285733.16,146269744209.05032,SOSOVALUE
2025-10-21,US_BTC_SPOT,477185400.6300003,151577656888.78513,SOSOVALUE
2025-10-20,US_BTC_SPOT,-40468310.94,149663366960.0116,SOSOVALUE
2025-10-17,US_BTC_SPOT,-366585053.1,143934686386.17447,SOSOVALUE
2025-10-16,US_BTC_SPOT,-536436461.53999996,146435124899.46527,SOSOVALUE
2025-10-15,US_BTC_SPOT,-104114643.9,151319572513.19345,SOSOVALUE
2025-10-14,US_BTC_SPOT,102582380.54,153549637125.82703,SOSOVALUE
2025-10-13,US_BTC_SPOT,-326515434.11,157179520752.8329,SOSOVALUE
2025-10-10,US_BTC_SPOT,-4503772.23,158964621380.81595,SOSOVALUE
2025-10-09,US_BTC_SPOT,197684064.68000004,164793004460.25983,SOSOVALUE
2025-10-08,US_BTC_SPOT,440725128.4,168002961067.15045,SOSOVALUE
2025-10-07,US_BTC_SPOT,875607450.0,164909175396.5847,SOSOVALUE
2025-10-06,US_BTC_SPOT,1205182658.7099998,169543558663.73883,SOSOVALUE
2025-10-03,US_BTC_SPOT,985081713.27,164496693923.12054,SOSOVALUE
2025-10-02,US_BTC_SPOT,627244401.965,161025456700.71667,SOSOVALUE
2025-10-01,US_BTC_SPOT,675814064.8500006,155894962518.53543,SOSOVALUE
2025-09-30,US_BTC_SPOT,429957109.1699994,150770861540.51556,SOSOVALUE
2025-09-29,US_BTC_SPOT,521951765.2999995,150407519260.4757,SOSOVALUE
2025-09-26,US_BTC_SPOT,-418254386.1099995,143562763306.89484,SOSOVALUE
2025-09-25,US_BTC_SPOT,-258459965.75000054,144351490006.75427,SOSOVALUE
2025-09-24,US_BTC_SPOT,240997524.0,149735910901.39847,SOSOVALUE
2025-09-23,US_BTC_SPOT,-103609722.835,147173920451.90155,SOSOVALUE
2025-09-22,US_BTC_SPOT,-363169441.5249989,148088421510.6089,SOSOVALUE
2025-09-19,US_BTC_SPOT,222619088.0,152305515492.92758,SOSOVALUE
2025-09-18,US_BTC_SPOT,163025717.6499994,155053126935.843,SOSOVALUE
2025-09-17,US_BTC_SPOT,-51282426.56999998,152453010527.14743,SOSOVALUE
