asset,ts_utc,open,high,low,close,session
BITCOIN,2025-10-23 16:01:56.678000+00:00,110010.57252049325,110010.57252049325,110010.57252049325,110010.57252049325,US
BITCOIN,2025-10-23 17:00:32.266000+00:00,110228.23713486004,110228.23713486004,110228.23713486004,110228.23713486004,US
BITCOIN,2025-10-23 18:01:46.415000+00:00,111200.25221791971,111200.25221791971,111200.25221791971,111200.25221791971,US
BITCOIN,2025-10-23 19:01:05.225000+00:00,110608.17600608674,110608.17600608674,110608.17600608674,110608.17600608674,US
BITCOIN,2025-10-23 20:00:54.510000+00:00,110259.20500676983,110259.20500676983,110259.20500676983,110259.20500676983,US
BITCOIN,2025-10-23 21:01:50.700000+00:00,109894.82604619532,109894.82604619532,109894.82604619532,109894.82604619532,US
BITCOIN,2025-10-23 22:06:08.947000+00:00,109694.02033354466,109694.02033354466,109694.02033354466,109694.02033354466,US
BITCOIN,2025-10-23 23:01:16.719000+00:00,109976.56229518166,109976.56229518166,109976.56229518166,109976.56229518166,US
BITCOIN,2025-10-24 00:01:32.885000+00:00,110048.51827291629,110048.51827291629,110048.51827291629,110048.51827291629,ASIA
BITCOIN,2025-10-24 01:01:58.300000+00:00,110590.88131635876,110590.88131635876,110590.88131635876,110590.88131635876,ASIA
BITCOIN,2025-10-24 02:03:23.505000+00:00,110570.44696030706,110570.44696030706,110570.44696030706,110570.44696030706,ASIA
BITCOIN,2025-10-24 03:00:55.853000+00:00,110676.86052315126,110676.86052315126,110676.86052315126,110676.86052315126,ASIA
BITCOIN,2025-10-24 04:02:09.546000+00:00,110475.2792746721,110475.2792746721,110475.2792746721,110475.2792746721,ASIA
BITCOIN,2025-10-24 05:01:40.101000+00:00,111294.44433723789,111294.44433723789,111294.44433723789,111294.44433723789,ASIA
BITCOIN,2025-10-24 06:01:53.056000+00:00,111278.18292651157,111278.18292651157,111278.18292651157,111278.18292651157,ASIA
BITCOIN,2025-10-24 07:01:27.631000+00:00,111455.90523406792,111455.90523406792,111455.90523406792,111455.90523406792,ASIA
BITCOIN,2025-10-24 08:01:53.193000+00:00,110990.68405371568,110990.68405371568,110990.68405371568,110990.68405371568,EUROPE
BITCOIN,2025-10-24 09:01:56.661000+00:00,111151.46710179307,111151.46710179307,111151.46710179307,111151.46710179307,EUROPE
BITCOIN,2025-10-24 10:01:40.693000+00:00,111344.38642783243,111344.38642783243,111344.38642783243,111344.38642783243,EUROPE
BITCOIN,2025-10-24 11:01:39.714000+00:00,111213.9317437174,111213.9317437174,111213.9317437174,111213.9317437174,EUROPE
BITCOIN,2025-10-24 12:01:39.154000+00:00,111051.84953520617,111051.84953520617,111051.84953520617,111051.84953520617,EUROPE
BITCOIN,2025-10-24 13:02:06.114000+00:00,111307.25811547365,111307.25811547365,111307.25811547365,111307.25811547365,EUROPE
BITCOIN,2025-10-24 14:01:48.333000+00:00,110838.85709025283,110838.85709025283,110838.85709025283,110838.85709025283,EUROPE
BITCOIN,2025-10-24 15:02:07.792000+00:00,109988.92412004159,109988.92412004159,109988.92412004159,109988.92412004159,EUROPE
BITCOIN,2025-10-24 16:01:23.462000+00:00,110149.04389859618,110149.04389859618,110149.04389859618,110149.04389859618,US
BITCOIN,2025-10-24 17:01:29.344000+00:00,110215.34810199725,110215.34810199725,110215.34810199725,110215.34810199725,US
BITCOIN,2025-10-24 18:01:45.357000+00:00,110342.829253726,110342.829253726,110342.829253726,110342.829253726,US
BITCOIN,2025-10-24 19:01:52.497000+00:00,110585.2481046863,110585.2481046863,110585.2481046863,110585.2481046863,US
BITCOIN,2025-10-24 20:01:48.213000+00:00,110630.57948719687,110630.57948719687,110630.57948719687,110630.57948719687,US
BITCOIN,2025-10-24 21:01:24.037000+00:00,110919.40218327155,110919.40218327155,110919.40218327155,110919.40218327155,US
BITCOIN,2025-10-24 22:01:41.873000+00:00,111087.74174490428,111087.74174490428,111087.74174490428,111087.74174490428,US
BITCOIN,2025-10-24 23:01:31.349000+00:00,110995.20314850457,110995.20314850457,110995.20314850457,110995.20314850457,US
BITCOIN,2025-10-25 00:01:14.240000+00:00,110997.80437129698,110997.80437129698,110997.80437129698,110997.80437129698,ASIA
BITCOIN,2025-10-25 01:01:43.849000+00:00,110742.40086612821,110742.40086612821,110742.40086612821,110742.40086612821,ASIA
BITCOIN,2025-10-25 02:06:10.358000+00:00,111108.65312045229,111108.65312045229,111108.65312045229,111108.65312045229,ASIA
BITCOIN,2025-10-25 03:01:44.990000+00:00,111080.28336353975,111080.28336353975,111080.28336353975,111080.28336353975,ASIA
BITCOIN,2025-10-25 04:01:17.401000+00:00,111036.626561223,111036.626561223,111036.626561223,111036.626561223,ASIA
BITCOIN,2025-10-25 05:01:37.818000+00:00,111306.02452878485,111306.02452878485,111306.02452878485,111306.02452878485,ASIA
BITCOIN,2025-10-25 06:00:08.353000+00:00,111338.44291460582,111338.44291460582,111338.44291460582,111338.44291460582,ASIA
BITCOIN,2025-10-25 07:06:51.173000+00:00,111471.77574252381,111471.77574252381,111471.77574252381,111471.77574252381,ASIA
BITCOIN,2025-10-25 08:00:52.978000+00:00,111507.89326706811,111507.89326706811,111507.89326706811,111507.89326706811,EUROPE
BITCOIN,2025-10-25 09:01:21.761000+00:00,111738.98925653729,111738.98925653729,111738.98925653729,111738.98925653729,EUROPE
BITCOIN,2025-10-25 10:01:23.458000+00:00,111560.34109927919,111560.34109927919,111560.34109927919,111560.34109927919,EUROPE
BITCOIN,2025-10-25 11:01:01.970000+00:00,111578.64850382108,111578.64850382108,111578.64850382108,111578.64850382108,EUROPE
BITCOIN,2025-10-25 12:01:00.739000+00:00,111600.24101661498,111600.24101661498,111600.24101661498,111600.24101661498,EUROPE
BITCOIN,2025-10-25 13:02:14.546000+00:00,111820.39354605979,111820.39354605979,111820.39354605979,111820.39354605979,EUROPE
BITCOIN,2025-10-25 14:01:24.189000+00:00,111696.70432950435,111696.70432950435,111696.70432950435,111696.70432950435,EUROPE
BITCOIN,2025-10-25 15:02:08.685000+00:00,111587.53286386712,111587.53286386712,111587.53286386712,111587.53286386712,EUROPE
BITCOIN,2025-10-25 16:01:34.990000+00:00,111454.48811350744,111454.48811350744,111454.48811350744,111454.48811350744,US
BITCOIN,2025-10-25 17:01:28.049000+00:00,111382.63495934718,111382.63495934718,111382.63495934718,111382.63495934718,US
BITCOIN,2025-10-25 18:01:29.669000+00:00,111303.69891957722,111303.69891957722,111303.69891957722,111303.69891957722,US
BITCOIN,2025-10-25 19:01:30.326000+00:00,111652.20193757836,111652.20193757836,111652.20193757836,111652.20193757836,US
BITCOIN,2025-10-25 20:01:55.945000+00:00,111589.25036071423,111589.25036071423,111589.25036071423,111589.25036071423,US
BITCOIN,2025-10-25 21:00:58.850000+00:00,111436.9480174695,111436.9480174695,111436.9480174695,111436.9480174695,US
BITCOIN,2025-10-25 22:02:05.689000+00:00,111397.19070064751,111397.19070064751,111397.19070064751,111397.19070064751,US
