as_of_date,fng_value,classification
2025-11-06,27,FEAR
2025-11-05,23,EXTREME FEAR
2025-11-04,21,EXTREME FEAR
2025-11-03,42,FEAR
2025-11-02,37,FEAR
2025-11-01,33,FEAR
2025-10-31,29,FEAR
2025-10-30,34,FEAR
2025-10-29,51,NEUTRAL
2025-10-28,50,NEUTRAL
2025-10-27,51,NEUTRAL
2025-10-26,40,FEAR
2025-10-25,37,FEAR
2025-10-24,30,FEAR
2025-10-23,27,FEAR
2025-10-22,25,EXTREME FEAR
2025-10-21,34,FEAR
2025-10-20,29,FEAR
2025-10-19,29,FEAR
2025-10-18,23,EXTREME FEAR
2025-10-17,22,EXTREME FEAR
2025-10-16,28,FEAR
2025-10-15,34,FEAR
2025-10-14,38,FEAR
2025-10-13,38,FEAR
2025-10-12,24,EXTREME FEAR
2025-10-11,27,FEAR
2025-10-10,64,GREED
2025-10-09,70,GREED
2025-10-08,60,GREED
